,Question,Iteration,R
973,Surroundings,73,0.1736
974,Surroundings,74,0.1936
975,Surroundings,75,0.2014
976,Surroundings,76,0.1820
977,Surroundings,77,0.1796
978,Surroundings,78,0.1588
979,Surroundings,79,0.1924
980,Surroundings,80,0.1579
981,Surroundings,81,0.1723
982,Surroundings,82,0.1418
983,Surroundings,83,0.1902
984,Surroundings,84,0.1763
985,Surroundings,85,0.1472
986,Surroundings,86,0.1629
987,Surroundings,87,0.1593
988,Surroundings,88,0.1374
989,Surroundings,89,0.1753
990,Surroundings,90,0.1685
991,Surroundings,91,0.1672
992,Surroundings,92,0.2112
993,Surroundings,93,0.1271
994,Surroundings,94,0.1386
995,Surroundings,95,0.1733
996,Surroundings,96,0.1478
997,Surroundings,97,0.1619
998,Surroundings,98,0.1558
999,Surroundings,99,0.1820
1000,Intrusive,0,0.0184
1001,Intrusive,1,0.0284
1002,Intrusive,2,0.0408
1003,Intrusive,3,0.0353
1004,Intrusive,4,0.0084
1005,Intrusive,5,0.0412
1006,Intrusive,6,0.0259
1007,Intrusive,7,-0.0252
1008,Intrusive,8,-0.0004
1009,Intrusive,9,0.0567
1010,Intrusive,10,-0.0144
1011,Intrusive,11,0.0150
1012,Intrusive,12,0.0435
1013,Intrusive,13,0.0047
1014,Intrusive,14,0.0374
1015,Intrusive,15,0.0320
1016,Intrusive,16,0.0595
1017,Intrusive,17,0.0492
1018,Intrusive,18,0.0762
1019,Intrusive,19,0.0647
1020,Intrusive,20,0.0513
1021,Intrusive,21,0.0493
1022,Intrusive,22,0.0462
1023,Intrusive,23,0.0205
1024,Intrusive,24,0.0495
1025,Intrusive,25,0.0022
1026,Intrusive,26,0.0185
1027,Intrusive,27,0.0170
1028,Intrusive,28,0.0033
1029,Intrusive,29,0.0440
1030,Intrusive,30,-0.0017
1031,Intrusive,31,0.1164
1032,Intrusive,32,0.0316
1033,Intrusive,33,-0.0204
1034,Intrusive,34,0.0786
1035,Intrusive,35,0.0293
1036,Intrusive,36,0.0157
1037,Intrusive,37,0.0130
1038,Intrusive,38,0.0137
1039,Intrusive,39,0.0601
1040,Intrusive,40,0.0687
1041,Intrusive,41,0.0704
1042,Intrusive,42,0.0213
1043,Intrusive,43,-0.0204
1044,Intrusive,44,0.0528
1045,Intrusive,45,0.0768
1046,Intrusive,46,-0.0049
1047,Intrusive,47,0.0106
1048,Intrusive,48,0.0804
1049,Intrusive,49,0.0543
1050,Intrusive,50,0.0395
1051,Intrusive,51,0.0435
1052,Intrusive,52,-0.0225
1053,Intrusive,53,0.0818
1054,Intrusive,54,0.0236
1055,Intrusive,55,0.0704
1056,Intrusive,56,0.0626
1057,Intrusive,57,0.0117
1058,Intrusive,58,0.0115
1059,Intrusive,59,0.0213
1060,Intrusive,60,0.0410
1061,Intrusive,61,0.0534
1062,Intrusive,62,0.0606
1063,Intrusive,63,-0.0373
1064,Intrusive,64,0.0685
1065,Intrusive,65,0.0193
1066,Intrusive,66,0.1137
1067,Intrusive,67,-0.0065
1068,Intrusive,68,0.0753
1069,Intrusive,69,0.0359
1070,Intrusive,70,-0.0117
1071,Intrusive,71,0.0051
1072,Intrusive,72,0.0188
1073,Intrusive,73,0.0089
1074,Intrusive,74,0.1020
1075,Intrusive,75,0.0284
1076,Intrusive,76,0.0595
1077,Intrusive,77,0.0676
1078,Intrusive,78,0.0579
1079,Intrusive,79,0.0378
1080,Intrusive,80,0.0492
1081,Intrusive,81,0.0418
1082,Intrusive,82,0.0165
1083,Intrusive,83,0.0299
1084,Intrusive,84,0.0484
1085,Intrusive,85,-0.0332
1086,Intrusive,86,0.0272
1087,Intrusive,87,-0.0252
1088,Intrusive,88,-0.0167
1089,Intrusive,89,0.0730
1090,Intrusive,90,0.0520
1091,Intrusive,91,0.0262
1092,Intrusive,92,0.0012
1093,Intrusive,93,0.0309
1094,Intrusive,94,0.0619
1095,Intrusive,95,0.0063
1096,Intrusive,96,0.0197
1097,Intrusive,97,0.0444
1098,Intrusive,98,0.0742
1099,Intrusive,99,0.0060
1100,Future,0,-0.0113
1101,Future,1,-0.0144
1102,Future,2,-0.0203
1103,Future,3,-0.0690
1104,Future,4,-0.0298
1105,Future,5,-0.0578
1106,Future,6,-0.0220
1107,Future,7,0.0657
1108,Future,8,-0.0506
1109,Future,9,0.0006
1110,Future,10,-0.0055
1111,Future,11,0.0032
1112,Future,12,0.0027
1113,Future,13,0.0644
1114,Future,14,-0.0483
1115,Future,15,0.0056
1116,Future,16,0.0401
1117,Future,17,-0.0897
1118,Future,18,0.0182
1119,Future,19,-0.1028
1120,Future,20,-0.0434
1121,Future,21,-0.0743
1122,Future,22,-0.0858
1123,Future,23,-0.0858
1124,Future,24,-0.0419
1125,Future,25,-0.0169
1126,Future,26,-0.0273
1127,Future,27,0.0132
1128,Future,28,-0.0351
1129,Future,29,-0.0270
1130,Future,30,0.0457
1131,Future,31,-0.0125
1132,Future,32,0.0430
1133,Future,33,-0.0075
1134,Future,34,-0.0421
1135,Future,35,-0.0573
1136,Future,36,0.0217
1137,Future,37,-0.0332
1138,Future,38,-0.0245
1139,Future,39,-0.0660
1140,Future,40,0.0176
1141,Future,41,-0.0251
1142,Future,42,-0.0551
1143,Future,43,0.0012
1144,Future,44,0.0092
1145,Future,45,-0.0058
1146,Future,46,-0.0540
1147,Future,47,-0.0177
1148,Future,48,0.0414
1149,Future,49,-0.0494
1150,Future,50,-0.1152
1151,Future,51,0.0546
1152,Future,52,-0.0039
1153,Future,53,-0.0285
1154,Future,54,-0.0325
1155,Future,55,-0.0823
1156,Future,56,-0.0317
1157,Future,57,-0.0150
1158,Future,58,0.0040
1159,Future,59,0.0002
1160,Future,60,-0.0101
1161,Future,61,-0.0599
1162,Future,62,-0.0471
1163,Future,63,0.0336
1164,Future,64,-0.0483
1165,Future,65,-0.0045
1166,Future,66,-0.0361
1167,Future,67,-0.0183
1168,Future,68,-0.0624
1169,Future,69,-0.0163
1170,Future,70,0.0003
1171,Future,71,-0.0304
1172,Future,72,0.0015
1173,Future,73,0.0150
1174,Future,74,-0.0540
1175,Future,75,-0.0271
1176,Future,76,-0.0047
1177,Future,77,0.0205
1178,Future,78,0.0234
1179,Future,79,0.0178
1180,Future,80,-0.0344
1181,Future,81,-0.0191
1182,Future,82,-0.0013
1183,Future,83,-0.0210
1184,Future,84,-0.0059
1185,Future,85,-0.0577
1186,Future,86,-0.0608
1187,Future,87,-0.0036
1188,Future,88,-0.0129
1189,Future,89,-0.0161
1190,Future,90,0.0200
1191,Future,91,-0.0233
1192,Future,92,0.0057
1193,Future,93,-0.0235
1194,Future,94,-0.0550
1195,Future,95,-0.0069
1196,Future,96,0.0307
1197,Future,97,-0.0636
1198,Future,98,-0.0830
1199,Future,99,-0.0452
1200,Past,0,0.1414
1201,Past,1,0.1278
1202,Past,2,0.1567
1203,Past,3,0.1658
1204,Past,4,0.1450
1205,Past,5,0.1032
1206,Past,6,0.1361
1207,Past,7,0.1428
1208,Past,8,0.1183
1209,Past,9,0.0850
1210,Past,10,0.1040
1211,Past,11,0.1663
1212,Past,12,0.1597
1213,Past,13,0.1205
1214,Past,14,0.1096
1215,Past,15,0.1420
1216,Past,16,0.1502
1217,Past,17,0.1193
1218,Past,18,0.1424
1219,Past,19,0.0825
1220,Past,20,0.1723
1221,Past,21,0.1546
1222,Past,22,0.1627
1223,Past,23,0.1464
1224,Past,24,0.1494
1225,Past,25,0.1027
1226,Past,26,0.1629
1227,Past,27,0.1600
1228,Past,28,0.1245
1229,Past,29,0.1219
1230,Past,30,0.1375
1231,Past,31,0.1606
1232,Past,32,0.1384
1233,Past,33,0.1823
1234,Past,34,0.1289
1235,Past,35,0.0998
1236,Past,36,0.1703
1237,Past,37,0.2033
1238,Past,38,0.1661
1239,Past,39,0.1375
1240,Past,40,0.1659
1241,Past,41,0.1292
1242,Past,42,0.1186
1243,Past,43,0.1331
1244,Past,44,0.1159
1245,Past,45,0.1320
1246,Past,46,0.1200
1247,Past,47,0.1656
1248,Past,48,0.1615
1249,Past,49,0.1684
1250,Past,50,0.1549
1251,Past,51,0.1480
1252,Past,52,0.1066
1253,Past,53,0.0758
1254,Past,54,0.1103
1255,Past,55,0.1273
1256,Past,56,0.1780
1257,Past,57,0.1322
1258,Past,58,0.1201
1259,Past,59,0.1121
1260,Past,60,0.1571
1261,Past,61,0.1292
1262,Past,62,0.0899
1263,Past,63,0.1517
1264,Past,64,0.1047
1265,Past,65,0.1465
1266,Past,66,0.1447
1267,Past,67,0.1312
1268,Past,68,0.1070
1269,Past,69,0.1649
1270,Past,70,0.1129
1271,Past,71,0.1630
1272,Past,72,0.1248
1273,Past,73,0.1271
1274,Past,74,0.1518
1275,Past,75,0.1322
1276,Past,76,0.0928
1277,Past,77,0.1142
1278,Past,78,0.1268
1279,Past,79,0.1425
1280,Past,80,0.1798
1281,Past,81,0.1546
1282,Past,82,0.1153
1283,Past,83,0.1047
1284,Past,84,0.1723
1285,Past,85,0.1483
1286,Past,86,0.1163
1287,Past,87,0.1676
1288,Past,88,0.1379
1289,Past,89,0.1111
1290,Past,90,0.1226
1291,Past,91,0.1207
1292,Past,92,0.1304
1293,Past,93,0.1202
1294,Past,94,0.1440
1295,Past,95,0.1255
1296,Past,96,0.1468
1297,Past,97,0.0967
1298,Past,98,0.1011
1299,Past,99,0.1572
1300,Specific,0,0.0127
1301,Specific,1,0.0403
1302,Specific,2,-0.0505
1303,Specific,3,-0.0070
1304,Specific,4,0.0198
1305,Specific,5,0.0279
1306,Specific,6,-0.0150
1307,Specific,7,0.0682
1308,Specific,8,0.0240
1309,Specific,9,0.0262
1310,Specific,10,0.0527
1311,Specific,11,0.0357
1312,Specific,12,-0.0077
1313,Specific,13,0.0328
1314,Specific,14,0.0267
1315,Specific,15,0.0260
1316,Specific,16,0.0211
1317,Specific,17,0.0147
1318,Specific,18,0.0671
1319,Specific,19,0.0600
1320,Specific,20,0.0173
1321,Specific,21,-0.0284
1322,Specific,22,0.0049
1323,Specific,23,-0.0073
1324,Specific,24,-0.0206
1325,Specific,25,-0.0588
1326,Specific,26,-0.0358
1327,Specific,27,0.0147
1328,Specific,28,-0.0036
1329,Specific,29,0.0071
1330,Specific,30,0.0146
1331,Specific,31,0.0432
1332,Specific,32,-0.0440
1333,Specific,33,-0.0543
1334,Specific,34,-0.0283
1335,Specific,35,-0.0235
1336,Specific,36,0.0600
1337,Specific,37,0.0312
1338,Specific,38,0.0211
1339,Specific,39,0.0277
1340,Specific,40,0.0618
1341,Specific,41,0.0466
1342,Specific,42,0.0540
1343,Specific,43,-0.0263
1344,Specific,44,-0.0104
1345,Specific,45,0.0264
1346,Specific,46,-0.0013
1347,Specific,47,0.0084
1348,Specific,48,0.0159
1349,Specific,49,-0.0242
1350,Specific,50,0.0258
1351,Specific,51,0.0198
1352,Specific,52,0.0332
1353,Specific,53,0.0084
1354,Specific,54,0.0516
1355,Specific,55,-0.0225
1356,Specific,56,-0.0025
1357,Specific,57,-0.0072
1358,Specific,58,-0.0173
1359,Specific,59,-0.0042
1360,Specific,60,0.0302
1361,Specific,61,-0.0016
1362,Specific,62,0.0112
1363,Specific,63,0.0261
1364,Specific,64,0.0469
1365,Specific,65,0.0416
1366,Specific,66,0.0209
1367,Specific,67,0.0222
1368,Specific,68,-0.0015
1369,Specific,69,0.0583
1370,Specific,70,-0.0297
1371,Specific,71,0.0156
1372,Specific,72,0.0018
1373,Specific,73,0.0376
1374,Specific,74,0.0343
1375,Specific,75,0.0302
1376,Specific,76,0.0445
1377,Specific,77,0.0194
1378,Specific,78,0.0380
1379,Specific,79,0.0396
1380,Specific,80,0.0318
1381,Specific,81,-0.0347
1382,Specific,82,0.0296
1383,Specific,83,0.0368
1384,Specific,84,0.0281
1385,Specific,85,-0.0062
1386,Specific,86,0.0307
1387,Specific,87,0.0435
1388,Specific,88,-0.0160
1389,Specific,89,-0.0044
1390,Specific,90,-0.0135
1391,Specific,91,0.0216
1392,Specific,92,0.0220
1393,Specific,93,0.0190
1394,Specific,94,-0.0371
1395,Specific,95,0.0007
1396,Specific,96,0.0276
1397,Specific,97,0.0157
1398,Specific,98,0.0393
1399,Specific,99,-0.0196
