,Question,Iteration,R
978,Surroundings,78,0.3574
979,Surroundings,79,0.3405
980,Surroundings,80,0.3226
981,Surroundings,81,0.3474
982,Surroundings,82,0.3766
983,Surroundings,83,0.3306
984,Surroundings,84,0.3268
985,Surroundings,85,0.3183
986,Surroundings,86,0.3535
987,Surroundings,87,0.3438
988,Surroundings,88,0.3464
989,Surroundings,89,0.3358
990,Surroundings,90,0.3259
991,Surroundings,91,0.3375
992,Surroundings,92,0.3151
993,Surroundings,93,0.3439
994,Surroundings,94,0.3321
995,Surroundings,95,0.3479
996,Surroundings,96,0.3507
997,Surroundings,97,0.3155
998,Surroundings,98,0.3444
999,Surroundings,99,0.3372
1000,Intrusive,0,0.3529
1001,Intrusive,1,0.3607
1002,Intrusive,2,0.3847
1003,Intrusive,3,0.3858
1004,Intrusive,4,0.3453
1005,Intrusive,5,0.3224
1006,Intrusive,6,0.3600
1007,Intrusive,7,0.3480
1008,Intrusive,8,0.3864
1009,Intrusive,9,0.3086
1010,Intrusive,10,0.3708
1011,Intrusive,11,0.3744
1012,Intrusive,12,0.3532
1013,Intrusive,13,0.3624
1014,Intrusive,14,0.3989
1015,Intrusive,15,0.3629
1016,Intrusive,16,0.3741
1017,Intrusive,17,0.3780
1018,Intrusive,18,0.3799
1019,Intrusive,19,0.3627
1020,Intrusive,20,0.3405
1021,Intrusive,21,0.3751
1022,Intrusive,22,0.3748
1023,Intrusive,23,0.3610
1024,Intrusive,24,0.3981
1025,Intrusive,25,0.3363
1026,Intrusive,26,0.3826
1027,Intrusive,27,0.3675
1028,Intrusive,28,0.3621
1029,Intrusive,29,0.3495
1030,Intrusive,30,0.3923
1031,Intrusive,31,0.3802
1032,Intrusive,32,0.3752
1033,Intrusive,33,0.3395
1034,Intrusive,34,0.3770
1035,Intrusive,35,0.4017
1036,Intrusive,36,0.3813
1037,Intrusive,37,0.3688
1038,Intrusive,38,0.3604
1039,Intrusive,39,0.3635
1040,Intrusive,40,0.3517
1041,Intrusive,41,0.3466
1042,Intrusive,42,0.4005
1043,Intrusive,43,0.3819
1044,Intrusive,44,0.3820
1045,Intrusive,45,0.3772
1046,Intrusive,46,0.3855
1047,Intrusive,47,0.3709
1048,Intrusive,48,0.3635
1049,Intrusive,49,0.3630
1050,Intrusive,50,0.3772
1051,Intrusive,51,0.3960
1052,Intrusive,52,0.3722
1053,Intrusive,53,0.3756
1054,Intrusive,54,0.3783
1055,Intrusive,55,0.3496
1056,Intrusive,56,0.3895
1057,Intrusive,57,0.3526
1058,Intrusive,58,0.3590
1059,Intrusive,59,0.3576
1060,Intrusive,60,0.3627
1061,Intrusive,61,0.3728
1062,Intrusive,62,0.3656
1063,Intrusive,63,0.3635
1064,Intrusive,64,0.3851
1065,Intrusive,65,0.3539
1066,Intrusive,66,0.3707
1067,Intrusive,67,0.3423
1068,Intrusive,68,0.3737
1069,Intrusive,69,0.3697
1070,Intrusive,70,0.3763
1071,Intrusive,71,0.3383
1072,Intrusive,72,0.3736
1073,Intrusive,73,0.3732
1074,Intrusive,74,0.3607
1075,Intrusive,75,0.3761
1076,Intrusive,76,0.3304
1077,Intrusive,77,0.3606
1078,Intrusive,78,0.3802
1079,Intrusive,79,0.3722
1080,Intrusive,80,0.3579
1081,Intrusive,81,0.3885
1082,Intrusive,82,0.3730
1083,Intrusive,83,0.3721
1084,Intrusive,84,0.3613
1085,Intrusive,85,0.3502
1086,Intrusive,86,0.3787
1087,Intrusive,87,0.3554
1088,Intrusive,88,0.3604
1089,Intrusive,89,0.3724
1090,Intrusive,90,0.3983
1091,Intrusive,91,0.3862
1092,Intrusive,92,0.3716
1093,Intrusive,93,0.3615
1094,Intrusive,94,0.3540
1095,Intrusive,95,0.3523
1096,Intrusive,96,0.3935
1097,Intrusive,97,0.3785
1098,Intrusive,98,0.3564
1099,Intrusive,99,0.3857
1100,Future,0,0.2201
1101,Future,1,0.2472
1102,Future,2,0.1932
1103,Future,3,0.2455
1104,Future,4,0.1891
1105,Future,5,0.2260
1106,Future,6,0.2370
1107,Future,7,0.2482
1108,Future,8,0.2458
1109,Future,9,0.2136
1110,Future,10,0.2643
1111,Future,11,0.1816
1112,Future,12,0.2090
1113,Future,13,0.2156
1114,Future,14,0.2294
1115,Future,15,0.2337
1116,Future,16,0.2325
1117,Future,17,0.2092
1118,Future,18,0.1819
1119,Future,19,0.2426
1120,Future,20,0.2211
1121,Future,21,0.2567
1122,Future,22,0.2149
1123,Future,23,0.2480
1124,Future,24,0.2407
1125,Future,25,0.2335
1126,Future,26,0.2301
1127,Future,27,0.2144
1128,Future,28,0.2117
1129,Future,29,0.1961
1130,Future,30,0.2706
1131,Future,31,0.2200
1132,Future,32,0.2120
1133,Future,33,0.2016
1134,Future,34,0.2473
1135,Future,35,0.1980
1136,Future,36,0.2273
1137,Future,37,0.2168
1138,Future,38,0.2064
1139,Future,39,0.2255
1140,Future,40,0.2242
1141,Future,41,0.2218
1142,Future,42,0.2414
1143,Future,43,0.2185
1144,Future,44,0.2430
1145,Future,45,0.2239
1146,Future,46,0.2453
1147,Future,47,0.2238
1148,Future,48,0.2129
1149,Future,49,0.2459
1150,Future,50,0.2435
1151,Future,51,0.2487
1152,Future,52,0.2358
1153,Future,53,0.2196
1154,Future,54,0.2097
1155,Future,55,0.2465
1156,Future,56,0.2319
1157,Future,57,0.2154
1158,Future,58,0.2215
1159,Future,59,0.1924
1160,Future,60,0.2543
1161,Future,61,0.2342
1162,Future,62,0.2418
1163,Future,63,0.2428
1164,Future,64,0.2503
1165,Future,65,0.2319
1166,Future,66,0.2109
1167,Future,67,0.2341
1168,Future,68,0.2372
1169,Future,69,0.2420
1170,Future,70,0.2493
1171,Future,71,0.1982
1172,Future,72,0.2219
1173,Future,73,0.2230
1174,Future,74,0.2682
1175,Future,75,0.2276
1176,Future,76,0.2123
1177,Future,77,0.2396
1178,Future,78,0.2275
1179,Future,79,0.2002
1180,Future,80,0.2564
1181,Future,81,0.2087
1182,Future,82,0.2699
1183,Future,83,0.2369
1184,Future,84,0.2150
1185,Future,85,0.2325
1186,Future,86,0.2339
1187,Future,87,0.2352
1188,Future,88,0.2417
1189,Future,89,0.2511
1190,Future,90,0.2407
1191,Future,91,0.2263
1192,Future,92,0.2528
1193,Future,93,0.2255
1194,Future,94,0.2309
1195,Future,95,0.2648
1196,Future,96,0.2477
1197,Future,97,0.2480
1198,Future,98,0.2579
1199,Future,99,0.1909
1200,Past,0,0.3395
1201,Past,1,0.3354
1202,Past,2,0.3334
1203,Past,3,0.3569
1204,Past,4,0.3212
1205,Past,5,0.3394
1206,Past,6,0.3275
1207,Past,7,0.3477
1208,Past,8,0.3483
1209,Past,9,0.3149
1210,Past,10,0.3353
1211,Past,11,0.3244
1212,Past,12,0.3425
1213,Past,13,0.3294
1214,Past,14,0.3477
1215,Past,15,0.3143
1216,Past,16,0.3643
1217,Past,17,0.3051
1218,Past,18,0.3438
1219,Past,19,0.3534
1220,Past,20,0.3657
1221,Past,21,0.3300
1222,Past,22,0.3060
1223,Past,23,0.3481
1224,Past,24,0.3559
1225,Past,25,0.3219
1226,Past,26,0.3319
1227,Past,27,0.3715
1228,Past,28,0.3426
1229,Past,29,0.3648
1230,Past,30,0.3616
1231,Past,31,0.3494
1232,Past,32,0.3549
1233,Past,33,0.3621
1234,Past,34,0.3442
1235,Past,35,0.3369
1236,Past,36,0.3754
1237,Past,37,0.3700
1238,Past,38,0.3336
1239,Past,39,0.3409
1240,Past,40,0.3366
1241,Past,41,0.3282
1242,Past,42,0.3343
1243,Past,43,0.3381
1244,Past,44,0.3292
1245,Past,45,0.3748
1246,Past,46,0.3519
1247,Past,47,0.3485
1248,Past,48,0.2965
1249,Past,49,0.3498
1250,Past,50,0.3546
1251,Past,51,0.3361
1252,Past,52,0.3200
1253,Past,53,0.3381
1254,Past,54,0.3307
1255,Past,55,0.3119
1256,Past,56,0.3155
1257,Past,57,0.3399
1258,Past,58,0.3517
1259,Past,59,0.3622
1260,Past,60,0.3595
1261,Past,61,0.3210
1262,Past,62,0.3197
1263,Past,63,0.3496
1264,Past,64,0.3304
1265,Past,65,0.3428
1266,Past,66,0.3387
1267,Past,67,0.3641
1268,Past,68,0.3537
1269,Past,69,0.3346
1270,Past,70,0.3342
1271,Past,71,0.3685
1272,Past,72,0.3604
1273,Past,73,0.3441
1274,Past,74,0.3444
1275,Past,75,0.3653
1276,Past,76,0.3376
1277,Past,77,0.3567
1278,Past,78,0.3323
1279,Past,79,0.3655
1280,Past,80,0.3592
1281,Past,81,0.3702
1282,Past,82,0.3396
1283,Past,83,0.3425
1284,Past,84,0.3475
1285,Past,85,0.3385
1286,Past,86,0.3296
1287,Past,87,0.3174
1288,Past,88,0.3535
1289,Past,89,0.3777
1290,Past,90,0.3524
1291,Past,91,0.3171
1292,Past,92,0.3605
1293,Past,93,0.3382
1294,Past,94,0.3304
1295,Past,95,0.3273
1296,Past,96,0.3480
1297,Past,97,0.3538
1298,Past,98,0.2925
1299,Past,99,0.3392
1300,Specific,0,0.2924
1301,Specific,1,0.2875
1302,Specific,2,0.2503
1303,Specific,3,0.2968
1304,Specific,4,0.2617
1305,Specific,5,0.2818
1306,Specific,6,0.2974
1307,Specific,7,0.2526
1308,Specific,8,0.2602
1309,Specific,9,0.2727
1310,Specific,10,0.2977
1311,Specific,11,0.2589
1312,Specific,12,0.2640
1313,Specific,13,0.2888
1314,Specific,14,0.2885
1315,Specific,15,0.2822
1316,Specific,16,0.2614
1317,Specific,17,0.2599
1318,Specific,18,0.2649
1319,Specific,19,0.2738
1320,Specific,20,0.2820
1321,Specific,21,0.3081
1322,Specific,22,0.2704
1323,Specific,23,0.2728
1324,Specific,24,0.2530
1325,Specific,25,0.2352
1326,Specific,26,0.2707
1327,Specific,27,0.3022
1328,Specific,28,0.2664
1329,Specific,29,0.2844
1330,Specific,30,0.2787
1331,Specific,31,0.2757
1332,Specific,32,0.2458
1333,Specific,33,0.2306
1334,Specific,34,0.2636
1335,Specific,35,0.3068
1336,Specific,36,0.2695
1337,Specific,37,0.2958
1338,Specific,38,0.2814
1339,Specific,39,0.2876
1340,Specific,40,0.2503
1341,Specific,41,0.2786
1342,Specific,42,0.2640
1343,Specific,43,0.2811
1344,Specific,44,0.2679
1345,Specific,45,0.2924
1346,Specific,46,0.2720
1347,Specific,47,0.3000
1348,Specific,48,0.2810
1349,Specific,49,0.2853
1350,Specific,50,0.3036
1351,Specific,51,0.2696
1352,Specific,52,0.3009
1353,Specific,53,0.2826
1354,Specific,54,0.2957
1355,Specific,55,0.2666
1356,Specific,56,0.2543
1357,Specific,57,0.2841
1358,Specific,58,0.2731
1359,Specific,59,0.2407
1360,Specific,60,0.3084
1361,Specific,61,0.2713
1362,Specific,62,0.2880
1363,Specific,63,0.2995
1364,Specific,64,0.2755
1365,Specific,65,0.2979
1366,Specific,66,0.2975
1367,Specific,67,0.2468
1368,Specific,68,0.3017
1369,Specific,69,0.2712
1370,Specific,70,0.2872
1371,Specific,71,0.2492
1372,Specific,72,0.3083
1373,Specific,73,0.2601
1374,Specific,74,0.2540
1375,Specific,75,0.2899
1376,Specific,76,0.2968
1377,Specific,77,0.3072
1378,Specific,78,0.2909
1379,Specific,79,0.2672
1380,Specific,80,0.2611
1381,Specific,81,0.2650
1382,Specific,82,0.2802
1383,Specific,83,0.3062
1384,Specific,84,0.2673
1385,Specific,85,0.2957
1386,Specific,86,0.3128
1387,Specific,87,0.2799
1388,Specific,88,0.2726
1389,Specific,89,0.2800
1390,Specific,90,0.2831
1391,Specific,91,0.2782
1392,Specific,92,0.2511
1393,Specific,93,0.2866
1394,Specific,94,0.2862
1395,Specific,95,0.2769
1396,Specific,96,0.2980
1397,Specific,97,0.2920
1398,Specific,98,0.2684
1399,Specific,99,0.2843
